ident,enqueteur,c1,c2,c3,c4,c5,c6,sexe,age,ann_insta,commun_exp,form_gen,form_agri,pc_fvd,pc_ferm,adh_group,adh_sica,adh_cuma,sau,s_ignames,s_autr_tuber,s_banane,s_canne,s_prairie,s_meca,conduite_ig,acti_agri,uth,uth_ig,success,revenu_agri,ig_annees,ig_prod_prin,ig_part_revenu,ig_lev_rev,ig_lev_diversif,ig_chaque_ann,ig_nb_var_cult,ig_semenceau,ig_assoc_var,ig_fr_maladie,ig_fr_temps_trav,ig_fr_dispo_plant,ig_fr_cout_prod,ig_fr_vol,ig_fr_eau,ig_fr_cons_plant,pb_dispo_sem,ig_av_s2,ig_av_nb_var,attri_cout,attri_nb_var,attri_dispo,attri_engage,Q4-03,Q4-06,Q4-09,Q4-13,Q4-15,Q4-18,Q4-22,Q4-24,fut_acha_sem_qual,futur_prod_ig971,futur_conso_ig971
AM01,AM,0,2,1,2,2,1,H,58,1989,ANSE - BERTRAND,Secondaire court,Sur le tas,0.00%,100.00%,0,1,0,8.20,0.20,0.00,0.00,6.00,2.00,6.20,A PLAT,100%,1.00,0.10,0,75-100,29,0,0-25,0,0,1,2,PRODUCTION PERSONNELLE,1,0,0,0,0,0,0,0,0,AUGMENTATION,AUGMENTATION,1,3,4,2,1,1,1,1,1,1,1,1,25%,AUGMENTATION,AUGMENTATION
AM02,AM,0,2,0,2,1,1,H,63,1988,PETIT - CANAL,Primaire,Sur le tas,100%,0.00%,0,1,0,6.30,0.30,1.20,0.00,0.70,3.60,2.70,A PLAT,100%,1.00,0.20,0,75-100,10,0,0-25,0,0,1,3,PRODUCTION PERSONNELLE,1,0,0,0,0,0,1,0,0,AUGMENTATION,AUGMENTATION,2,1,4,3,0,1,1,1,0,0,0,0,25%,AUGMENTATION,AUGMENTATION
AM03,AM,1,1,0,1,0,2,H,50,2009,PORT - LOUIS,Superieur,BEPA,0.00%,20.00%,0,1,1,8.00,0.30,1.00,0.20,1.00,0.00,8.00,LES DEUX,100%,1.00,0.40,0,75-100,20,0,0-25,0,0,1,2,COMMERCE,1,0,0,1,0,0,0,0,1,AUGMENTATION,AUGMENTATION,1,2,4,3,1,1,1,1,0,0,0,1,100%,DISPARITION,AUGMENTATION
AM04,AM,2,2,1,1,0,1,H,58,1993,PORT - LOUIS,Superieur,BTSA,0.00%,100.00%,1,1,1,26.00,0.20,0.10,0.00,9.40,16.30,9.70,LES DEUX,100%,3.50,2.50,0,75-100,25,0,0-25,0,0,1,4,PRODUCTION PERSONNELLE,1,1,0,0,0,0,0,0,0,AUGMENTATION,MAINTIEN,3,1,2,4,1,1,1,1,1,1,1,1,100%,AUGMENTATION,AUGMENTATION
AM05,AM,0,2,0,2,0,1,H,66,1989,PORT - LOUIS,Secondaire court,Sur le tas,0.00%,100.00%,0,1,1,7.90,0.70,0.00,0.00,6.00,1.20,6.70,LES DEUX,100%,1.00,0.60,1,75-100,29,0,0-25,1,0,1,3,PRODUCTION PERSONNELLE,1,0,0,0,0,0,0,0,0,MAINTIEN,NSP,1,3,4,2,1,1,1,1,0,0,0,1,50%,BAISSE,PAS DE CHANGEMENT
AM06,AM,2,1,1,2,0,1,H,66,.,PORT - LOUIS,Secondaire court,Sur le tas,0.00%,100.00%,0,1,0,8.20,0.20,0.00,0.00,2.00,0.00,8.20,A PLAT,70%,1.00,0.50,1,50-75,29,0,0-25,0,0,1,2,PRODUCTION PERSONNELLE,1,0,0,1,0,0,0,0,1,MAINTIEN,AUGMENTATION,1,2,4,3,1,1,1,1,1,1,1,1,50%,AUGMENTATION,AUGMENTATION
AM07,AM,0,1,0,2,2,2,H,58,1980,ANSE - BERTRAND,Secondaire court,Sur le tas,0.00%,100.00%,0,1,1,10.90,0.80,0.90,0.00,7.00,0.00,10.90,LES DEUX,100%,1.00,0.80,0,75-100,30,0,0-25,1,0,1,3,PRODUCTION PERSONNELLE,1,0,0,0,0,0,0,0,1,AUGMENTATION,AUGMENTATION,2,1,3,4,1,1,1,1,1,1,1,1,100%,AUGMENTATION,AUGMENTATION
AM08,AM,0,2,1,1,0,1,F,52,1990,ANSE - BERTRAND,Superieur,BTSA,0.00%,100.00%,0,1,0,10.93,0.60,0.30,0.00,8.00,2.03,8.90,LES DEUX,100%,1.50,1.00,0,75-100,10,0,0-25,0,0,1,4,AUTRES AGRICULTEURS,0,0,0,0,1,0,0,0,1,MAINTIEN,AUGMENTATION,2,3,1,4,1,1,1,1,1,0,0,1,50%,PAS DE CHANGEMENT,AUGMENTATION
AM09,AM,1,1,2,2,2,2,H,53,1990,ANSE - BERTRAND,Secondaire court,BEPA,0.00%,100.00%,0,1,1,15.00,0.70,0.30,0.00,8.50,2.50,12.50,A PLAT,100%,1.50,1.00,0,75-100,5,0,0-25,0,1,1,2,PRODUCTION PERSONNELLE,0,0,0,0,0,0,0,0,0,AUGMENTATION,AUGMENTATION,1,4,2,3,1,1,1,1,1,1,1,1,100%,AUGMENTATION,AUGMENTATION
AM10,AM,2,2,1,1,1,2,F,44,2006,ANSE - BERTRAND,Superieur,BTA,0.00%,100.00%,0,1,1,8.00,0.30,0.00,0.00,5.00,0.00,8.00,A PLAT,70%,0.50,0.25,0,50-75,10,0,0-25,1,0,1,3,PRODUCTION PERSONNELLE,1,0,1,0,0,0,0,0,0,AUGMENTATION,AUGMENTATION,1,3,2,4,1,1,1,1,1,0,0,1,100%,AUGMENTATION,AUGMENTATION
AM11,AM,1,2,1,2,1,1,F,70,1978,ANSE - BERTRAND,Secondaire court,Sur le tas,100%,0.00%,0,0,0,1.50,0.30,0.00,0.00,0.00,0.00,1.50,LES DEUX,50%,0.50,0.50,1,0-25,38,1,75-100,0,0,1,3,PRODUCTION PERSONNELLE,1,0,0,0,0,0,1,0,0,AUGMENTATION,MAINTIEN,2,1,3,4,1,1,1,1,1,0,0,1,50%,AUGMENTATION,AUGMENTATION
AM12,AM,1,2,2,2,2,1,H,57,1993,ANSE - BERTRAND,Secondaire court,Sur le tas,0.00%,100.00%,0,1,0,14.00,0.15,0.00,0.00,6.30,3.00,11.00,A PLAT,100%,1.00,0.25,0,75-100,16,0,0-25,1,0,1,2,AUTRES AGRICULTEURS,1,0,0,0,0,0,0,1,0,AUGMENTATION,MAINTIEN,3,1,2,4,1,1,0,1,1,0,0,1,50%,AUGMENTATION,AUGMENTATION
AM13,AM,1,1,1,1,1,1,H,52,1989,ANSE - BERTRAND,Secondaire court,Sur le tas,100%,0.00%,0,1,0,2.69,0.15,0.00,0.00,1.08,1.46,1.23,TUTEUREE,25%,0.25,0.15,0,0-25,6,0,0-25,0,0,1,2,PRODUCTION PERSONNELLE,1,0,0,0,0,0,1,0,0,AUGMENTATION,AUGMENTATION,2,1,4,3,1,1,1,1,1,1,0,1,75%,PAS DE CHANGEMENT,AUGMENTATION
AM14,AM,0,1,1,1,2,2,H,59,1989,PETIT - CANAL,Primaire,Sur le tas,0.00%,100.00%,0,1,0,6.70,0.20,0.00,0.00,6.00,0.50,6.20,A PLAT,100%,1.00,0.50,1,75-100,3,0,0-25,1,0,1,3,AUTRES AGRICULTEURS,1,0,0,0,0,0,0,0,0,ARRET,NSP,1,3,4,2,1,1,1,1,0,0,0,0,100%,AUGMENTATION,AUGMENTATION
AM15,AM,1,1,2,2,2,2,H,45,2008,PETIT - CANAL,Secondaire long,BEPA,12.00%,88.00%,0,1,1,11.00,0.30,0.40,0.00,6.30,3.00,8.00,A PLAT,100%,1.00,0.20,0,75-100,7,0,0-25,1,0,1,2,COMMERCE,1,0,0,0,0,0,1,0,1,AUGMENTATION,AUGMENTATION,2,3,1,4,1,1,1,1,1,1,1,1,100%,AUGMENTATION,AUGMENTATION
AM16,AM,0,1,1,2,2,2,H,43,2007,ANSE - BERTRAND,Secondaire long,BEPA,0.00%,100.00%,0,1,1,13.40,0.40,0.00,0.00,11.00,2.00,11.40,TUTEUREE,100%,1.00,0.40,1,75-100,17,0,0-25,1,0,1,5,PRODUCTION PERSONNELLE,1,1,0,0,0,0,0,0,0,AUGMENTATION,MAINTIEN,1,3,2,4,1,1,1,1,1,1,0,1,75%,AUGMENTATION,AUGMENTATION
AM17,AM,1,1,2,2,0,1,H,64,1992,ANSE - BERTRAND,Secondaire court,Sur le tas,100%,0.00%,0,0,0,1.10,0.30,0.00,0.00,0.00,0.80,0.30,A PLAT,10%,0.50,0.25,1,0-25,25,0,0-25,0,0,1,3,AUTRES AGRICULTEURS,1,0,0,0,0,0,1,0,0,MAINTIEN,MAINTIEN,1,3,2,4,1,1,1,1,0,0,0,1,100%,BAISSE,AUGMENTATION
AM18,AM,1,1,2,2,2,2,H,36,.,PETIT - CANAL,Secondaire court,BEPA,0.00%,100.00%,0,1,1,10.34,3.00,0.00,0.00,3.50,0.00,10.34,A PLAT,100%,3.50,2.50,0,75-100,4,0,50-75,1,0,1,2,PRODUCTION PERSONNELLE,0,0,0,0,0,0,0,0,0,MAINTIEN,MAINTIEN,2,1,3,4,1,1,1,1,1,1,1,1,50%,PAS DE CHANGEMENT,AUGMENTATION
AM19,AM,0,1,1,2,2,1,H,31,2016,PETIT - CANAL,Secondaire long,BEPA,0.00%,100.00%,0,1,0,7.00,1.00,0.00,0.00,4.50,0.00,7.00,LES DEUX,100%,2.00,0.40,0,75-100,7,0,0-25,0,0,1,3,PRODUCTION PERSONNELLE,0,1,0,0,0,0,0,0,0,AUGMENTATION,MAINTIEN,3,2,1,4,1,1,1,1,0,0,0,NSP,25%,BAISSE,AUGMENTATION
AM20,AM,0,1,1,1,2,2,H,48,2000,PETIT - CANAL,Secondaire court,Sur le tas,0.00%,100.00%,0,1,1,8.17,0.18,0.00,0.00,7.99,0.00,8.17,A PLAT,100%,1.00,0.30,1,75-100,20,0,0-25,1,0,1,2,PRODUCTION PERSONNELLE,1,1,0,0,0,0,0,0,1,AUGMENTATION,AUGMENTATION,2,4,1,3,1,1,1,1,1,0,0,1,50%,BAISSE,AUGMENTATION
AM21,AM,1,1,1,2,2,2,F,39,2010,PETIT - CANAL,Superieur,BTSA,0.00%,100.00%,0,1,1,11.00,0.50,0.50,0.00,5.00,2.00,9.00,A PLAT,100%,1.50,1.00,0,75-100,2,0,0-25,0,0,1,1,PRODUCTION PERSONNELLE,0,1,0,0,0,0,0,0,0,AUGMENTATION,AUGMENTATION,4,2,1,3,1,1,1,1,1,1,1,1,100%,PAS DE CHANGEMENT,AUGMENTATION
AM22,AM,2,1,1,2,2,2,H,50,1986,ANSE - BERTRAND,Secondaire long,Sur le tas,0.00%,100.00%,0,1,0,30.00,0.50,0.10,0.00,29.40,0.00,30.00,A PLAT,100%,2.50,1.00,0,75-100,3,0,0-25,1,0,1,3,PRODUCTION PERSONNELLE,0,0,0,0,0,0,0,0,0,AUGMENTATION,AUGMENTATION,4,3,2,1,1,1,1,1,1,1,1,1,75%,BAISSE,AUGMENTATION
AM23,AM,2,1,1,2,2,0,H,24,2015,ANSE - BERTRAND,Superieur,BTSA,0.00%,100.00%,0,1,0,14.51,0.20,0.01,0.00,12.50,0.00,14.51,A PLAT,100%,1.50,1.00,0,75-100,2,0,0-25,1,0,1,5,PRODUCTION PERSONNELLE,0,1,1,1,0,0,0,0,1,MAINTIEN,MAINTIEN,1,2,3,4,1,1,1,1,0,1,1,1,50%,AUGMENTATION,AUGMENTATION
AM24,AM,2,2,1,2,1,1,H,53,1982,PETIT - CANAL,Secondaire court,BEPA,0.00%,100.00%,0,1,0,17.62,0.30,0.40,0.00,11.00,5.00,12.62,A PLAT,100%,2.50,0.50,1,75-100,22,0,0-25,1,0,1,2,COMMERCE,1,0,0,0,0,0,0,0,0,AUGMENTATION,AUGMENTATION,3,1,2,4,1,1,1,1,1,1,1,1,100%,AUGMENTATION,AUGMENTATION
AM25,AM,1,2,1,2,2,1,H,44,1998,PETIT - CANAL,Secondaire court,BEPA,100%,0.00%,0,1,0,5.40,0.40,0.00,0.00,3.80,0.00,5.40,A PLAT,40%,1.00,0.50,1,50-75,20,0,0-25,1,0,1,4,PRODUCTION PERSONNELLE,1,0,0,0,0,0,0,0,1,AUGMENTATION,AUGMENTATION,2,1,4,3,1,1,1,1,1,1,1,1,75%,AUGMENTATION,AUGMENTATION
AM26,AM,1,2,2,2,0,0,H,44,2013,LE MOULE,Secondaire court,Sur le tas,40.00%,60.00%,0,1,0,3.20,0.40,0.00,0.00,0.80,2.00,1.20,TUTEUREE,20%,0.70,0.50,1,0-25,10,0,0-25,0,0,1,2,PRODUCTION PERSONNELLE,1,0,0,0,0,0,0,0,0,AUGMENTATION,MAINTIEN,1,2,3,4,1,1,1,0,1,1,1,1,25%,AUGMENTATION,AUGMENTATION
AM27,AM,1,1,1,2,2,2,H,84,1979,SAINT FRANCOIS,Superieur,Sur le tas,100%,0.00%,0,1,0,13.00,0.20,0.40,0.00,3.00,9.20,3.80,A PLAT,100%,2.00,0.25,0,0-25,15,0,0-25,0,0,1,5,PRODUCTION PERSONNELLE,1,0,0,0,0,0,0,0,0,MAINTIEN,MAINTIEN,3,2,1,4,1,1,1,1,1,0,0,1,25%,PAS DE CHANGEMENT,PAS DE CHANGEMENT
AM28,AM,1,2,2,2,0,1,H,62,1979,LE MOULE,Secondaire court,Sur le tas,100%,0.00%,0,0,0,2.50,0.50,0.00,0.00,2.00,0.00,0.50,A PLAT,100%,2.00,1.00,1,75-100,28,0,25-50,1,0,1,3,PRODUCTION PERSONNELLE,1,0,0,0,0,0,0,0,0,NSP,MAINTIEN,1,4,2,3,0,1,0,0,0,0,0,NSP,0%,AUGMENTATION,AUGMENTATION
AM29,AM,1,1,0,1,0,1,H,57,1986,LE MOULE,Secondaire court,Sur le tas,0.00%,100.00%,0,0,0,2.99,0.50,0.00,0.00,0.00,0.00,2.99,A PLAT,100%,2.00,0.50,1,75-100,2,0,0-25,1,0,1,1,COMMERCE,0,0,0,0,0,0,0,0,1,AUGMENTATION,AUGMENTATION,3,2,1,4,1,1,1,1,0,0,0,1,100%,AUGMENTATION,AUGMENTATION
AM30,AM,0,2,2,2,0,1,F,42,2014,GOYAVE,Superieur,BTSA,100%,0.00%,0,1,0,3.00,0.15,0.00,0.20,0.00,0.00,3.00,TUTEUREE,100%,1.25,0.25,0,50-75,10,0,0-25,0,0,0,1,PRODUCTION PERSONNELLE,0,1,0,0,0,0,0,0,0,AUGMENTATION,AUGMENTATION,3,2,1,4,1,1,1,1,0,0,0,1,50%,DISPARITION,AUGMENTATION
AM31,AM,2,1,1,2,1,1,H,46,2008,PETIT - CANAL,Secondaire court,BEPA,0.00%,100.00%,0,1,1,10.00,0.50,0.00,0.00,7.00,2.50,7.50,A PLAT,50%,1.50,0.50,1,25-50,15,0,0-25,1,0,1,3,PRODUCTION PERSONNELLE,1,0,0,0,0,0,0,0,0,AUGMENTATION,REDUCTION,1,2,3,4,1,1,0,1,1,1,1,1,75%,BAISSE,AUGMENTATION
AM32,AM,1,1,1,2,2,2,H,45,2012,PETIT - CANAL,Secondaire long,BEPA,0.00%,100.00%,0,1,0,13.00,0.30,0.00,0.00,10.00,0.00,13.00,LES DEUX,50%,1.00,0.25,0,25-50,10,0,0-25,1,0,0,4,AUTRES AGRICULTEURS,1,0,1,0,0,0,0,0,1,AUGMENTATION,MAINTIEN,2,3,1,4,1,1,1,1,1,1,1,1,100%,AUGMENTATION,AUGMENTATION
AM33,AM,2,1,1,2,2,1,H,55,1990,PETIT - CANAL,Secondaire court,Sur le tas,0.00%,100.00%,0,1,0,2.70,0.50,0.20,0.00,2.00,0.00,2.70,A PLAT,20%,1.00,1.00,0,0-25,28,0,0-25,1,0,1,3,PRODUCTION PERSONNELLE,1,0,0,0,0,0,1,0,0,AUGMENTATION,AUGMENTATION,3,1,2,4,1,1,1,1,1,1,1,1,100%,AUGMENTATION,AUGMENTATION
AM34,AM,1,1,1,2,2,2,H,47,2000,PETIT - CANAL,Secondaire court,Sur le tas,100%,0.00%,0,1,0,3.15,0.15,0.00,0.00,3.00,0.00,3.15,A PLAT,20%,0.50,0.25,0,0-25,18,0,0-25,0,0,1,4,PRODUCTION PERSONNELLE,0,0,0,0,0,0,0,0,0,AUGMENTATION,AUGMENTATION,3,1,2,4,1,1,1,1,1,1,1,NSP,50%,BAISSE,PAS DE CHANGEMENT
AM35,AM,1,2,2,2,2,2,H,62,2001,PETIT - CANAL,Secondaire court,Sur le tas,100%,0.00%,0,1,0,5.95,0.70,0.00,0.00,4.25,1.00,4.95,A PLAT,30%,1.00,0.60,0,0-25,35,0,0-25,1,0,1,1,PRODUCTION PERSONNELLE,0,1,0,0,0,0,0,0,0,MAINTIEN,AUGMENTATION,2,1,3,4,1,1,1,1,0,0,0,0,25%,AUGMENTATION,AUGMENTATION
AM36,AM,2,2,1,2,1,1,H,35,2013,PETIT - CANAL,Superieur,BTSA,0.00%,100.00%,0,1,0,10.50,1.00,0.00,0.00,9.00,0.50,10.00,A PLAT,60%,1.50,1.00,0,0-25,2,0,0-25,0,0,1,2,PRODUCTION PERSONNELLE,1,0,1,0,0,0,0,0,0,AUGMENTATION,MAINTIEN,1,4,2,3,1,1,1,1,1,0,0,1,50%,PAS DE CHANGEMENT,AUGMENTATION
AM37,AM,1,1,0,2,2,2,H,65,1976,SAINT FRANCOIS,Primaire,Sur le tas,100%,0.00%,0,1,0,5.60,0.50,0.50,0.00,3.30,1.30,4.30,A PLAT,100%,1.00,0.50,1,75-100,17,0,0-25,1,0,1,1,COMMERCE,0,0,0,0,0,0,0,0,1,AUGMENTATION,AUGMENTATION,2,3,1,4,0,1,1,1,0,0,0,NSP,100%,AUGMENTATION,AUGMENTATION
AM38,AM,1,1,1,2,2,2,H,55,1993,SAINT FRANCOIS,Secondaire court,BEPA,70.00%,30.00%,0,1,0,4.50,1.00,2.00,0.00,0.00,0.00,4.50,A PLAT,100%,3.50,2.00,0,75-100,5,0,0-25,0,1,1,1,COMMERCE,0,1,0,0,0,0,0,0,1,REDUCTION,AUGMENTATION,2,4,1,3,1,1,1,1,1,1,1,1,100%,BAISSE,AUGMENTATION
AM39,AM,1,1,2,2,0,1,F,55,2002,SAINTE ROSE,Secondaire court,Sur le tas,100%,0.00%,0,1,0,4.20,0.20,0.30,0.20,3.00,0.00,4.20,TUTEUREE,30%,1.00,0.50,1,0-25,3,0,0-25,1,0,1,1,COMMERCE,0,1,0,0,0,0,1,0,1,MAINTIEN,MAINTIEN,1,3,2,4,1,1,1,1,1,1,1,NSP,100%,BAISSE,AUGMENTATION
AM40,AM,1,1,2,2,2,1,H,37,2001,LE MOULE,Superieur,BTA,0.00%,100.00%,0,1,0,6.27,1.00,0.00,0.00,4.84,0.00,6.27,A PLAT,100%,1.50,1.00,0,75-100,15,0,0-25,0,0,1,3,PRODUCTION PERSONNELLE,1,1,0,0,0,0,0,0,0,MAINTIEN,AUGMENTATION,3,2,1,4,1,1,1,1,1,1,1,1,50%,PAS DE CHANGEMENT,AUGMENTATION
AM41,AM,2,2,2,2,2,2,H,57,1988,LE MOULE,Secondaire court,Sur le tas,0.00%,100.00%,1,1,1,17.00,1.00,2.00,0.00,4.00,8.00,9.00,A PLAT,100%,2.50,1.00,0,75-100,33,0,0-25,1,0,1,2,PRODUCTION PERSONNELLE,0,0,0,0,0,0,0,0,1,MAINTIEN,AUGMENTATION,2,1,3,4,1,1,1,1,1,0,0,NSP,75%,PAS DE CHANGEMENT,PAS DE CHANGEMENT
AM42,AM,1,1,1,2,2,1,H,59,1975,LE MOULE,Primaire,Sur le tas,5.00%,95.00%,0,1,1,13.00,1.20,0.50,0.00,9.80,1.30,11.70,A PLAT,100%,2.00,1.00,0,75-100,15,0,0-25,1,0,1,4,PRODUCTION PERSONNELLE,0,1,0,0,0,0,0,0,0,AUGMENTATION,MAINTIEN,3,1,2,4,1,1,1,1,1,0,0,1,100%,AUGMENTATION,AUGMENTATION
AM43,AM,1,1,1,2,2,1,H,59,1996,ANSE - BERTRAND,Secondaire court,Sur le tas,50.00%,50.00%,0,1,0,9.20,0.20,0.00,0.00,7.00,2.00,7.20,A PLAT,100%,1.50,0.25,0,75-100,6,0,0-25,0,0,1,1,PRODUCTION PERSONNELLE,0,0,0,0,0,0,0,0,1,NSP,MAINTIEN,1,2,3,4,1,1,0,1,0,0,0,NSP,25%,AUGMENTATION,AUGMENTATION
AM44,AM,0,1,1,2,0,2,H,62,1978,LE MOULE,Primaire,Sur le tas,100%,0.00%,0,0,0,3.41,0.70,0.30,0.00,0.00,0.00,3.41,A PLAT,100%,2.00,1.00,1,75-100,38,0,0-25,1,0,1,4,COMMERCE,1,1,0,0,0,0,1,0,1,REDUCTION,MAINTIEN,1,2,3,4,1,1,1,1,1,0,0,NSP,50%,PAS DE CHANGEMENT,AUGMENTATION
AM45,AM,0,1,0,1,0,2,H,60,1984,LE MOULE,Secondaire court,Sur le tas,0.00%,100.00%,0,1,1,16.00,1.50,0.50,0.00,7.00,1.00,15.00,A PLAT,100%,3.00,1.50,0,75-100,30,0,0-25,1,0,1,5,PRODUCTION PERSONNELLE,1,0,1,0,1,0,0,0,0,REDUCTION,MAINTIEN,1,3,4,2,0,0,1,1,1,0,0,1,25%,BAISSE,BAISSE
AM46,AM,2,1,1,2,2,1,H,61,1988,LE MOULE,Secondaire court,Sur le tas,0.00%,100.00%,0,1,1,7.30,0.50,0.30,0.00,4.00,2.50,4.80,A PLAT,100%,1.00,0.50,1,75-100,28,0,0-25,1,0,1,3,AUTRES AGRICULTEURS,1,0,0,0,0,0,0,0,1,REDUCTION,MAINTIEN,2,1,4,3,1,1,1,1,1,1,1,1,100%,BAISSE,AUGMENTATION
AM47,AM,1,1,2,2,2,2,H,51,1995,ANSE - BERTRAND,Secondaire court,Sur le tas,55.00%,45.00%,0,1,1,7.20,0.25,0.00,0.00,5.95,1.00,6.20,TUTEUREE,100%,1.00,0.25,1,75-100,23,0,0-25,0,0,1,2,PRODUCTION PERSONNELLE,0,0,0,0,0,0,0,0,0,AUGMENTATION,AUGMENTATION,1,2,3,4,1,1,1,1,1,0,1,NSP,25%,AUGMENTATION,AUGMENTATION
AM48,AM,1,1,2,2,0,1,H,58,1999,PETIT - CANAL,Secondaire court,Sur le tas,0.00%,0.00%,0,1,0,1.70,0.40,0.00,0.00,1.10,0.00,1.70,A PLAT,30%,0.50,0.25,1,0-25,18,0,0-25,0,0,1,4,AUTRES AGRICULTEURS,0,0,0,0,0,0,0,0,0,MAINTIEN,MAINTIEN,2,3,1,4,1,1,1,1,1,0,0,0,50%,PAS DE CHANGEMENT,PAS DE CHANGEMENT
AM49,AM,0,1,0,2,0,2,H,48,1998,PETIT - CANAL,Secondaire court,Sur le tas,0.00%,100.00%,0,1,0,12.80,0.80,0.00,0.00,12.00,0.00,12.80,A PLAT,85%,1.50,0.50,1,75-100,14,0,0-25,1,0,1,4,PRODUCTION PERSONNELLE,0,0,0,0,0,0,0,0,0,MAINTIEN,AUGMENTATION,1,3,2,4,1,1,1,1,1,0,NSP,1,50%,PAS DE CHANGEMENT,PAS DE CHANGEMENT
AM50,AM,2,1,1,1,2,2,H,53,1988,ANSE - BERTRAND,Secondaire court,Sur le tas,0.00%,100.00%,0,1,0,8.20,0.20,0.50,0.00,5.00,2.50,5.70,A PLAT,100%,1.00,0.25,0,75-100,27,0,0-25,0,0,1,4,PRODUCTION PERSONNELLE,0,0,1,0,0,0,0,0,0,AUGMENTATION,AUGMENTATION,3,2,1,4,1,1,1,1,1,1,1,1,100%,BAISSE,AUGMENTATION
AM51,AM,2,2,1,1,1,2,H,60,1987,MORNE A L'EAU,Secondaire court,BEPA,0.00%,100.00%,1,1,1,12.60,1.60,1.50,0.00,7.00,0.00,12.60,A PLAT,100%,2.50,1.00,1,75-100,35,0,25-50,1,0,1,5,PRODUCTION PERSONNELLE,0,1,1,0,1,0,0,0,0,REDUCTION,MAINTIEN,4,2,1,3,1,1,1,1,1,1,1,1,25%,BAISSE,PAS DE CHANGEMENT
AM52,AM,2,2,1,1,1,2,H,32,2008,LE MOULE,Secondaire long,Sur le tas,100%,0.00%,0,0,0,4.30,0.30,0.00,0.00,0.00,2.00,2.30,A PLAT,100%,1.00,0.25,0,75-100,2,0,0-25,1,0,1,2,PRODUCTION PERSONNELLE,0,0,0,1,0,0,0,0,1,AUGMENTATION,AUGMENTATION,1,2,3,4,1,1,0,1,1,0,NSP,1,100%,AUGMENTATION,AUGMENTATION
