,Height.max..cm.,Simple.leaflets,Composed.leaflets,ovate.shape,rounded.shape,palmatipartite.shape,linear.shape,Hairy.area,Opposite.disposition,webbed,attenuated.base,obtuse.apex,rounded.apex,accute.apex,curvinave.nervation,pinnate.nervation,Lenght.max..cm.,toothed.border,lobed.border,Petiole.max..mm.,petiolate,gloeo,trunc,colleto
Alocasia macrorrhiza,200,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,150,no,yes,1500,no,yes,no,gloeo
Bidens alba,100,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,17,yes,no,40,yes,yes,no,gloeo
Calopogonium mucunoides,0,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,16,no,no,160,yes,yes,no,gloeo
Canavalia,0,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,20,no,no,170,yes,yes,no,gloeo
Cleome rutidosperma,90,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,4,no,no,40,yes,yes,no,gloeo
Commelina diffusa,0,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,0,no,yes,no,gloeo
Crotalaria retusa,120,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,10,no,no,5,yes,yes,no,gloeo
Datura stramonium,150,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,18,no,yes,50,yes,yes,no,gloeo
Emilia fosbergii,60,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,no,0,no,yes,no,gloeo
Erechtites hieracifolia,100,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,18,yes,no,0,no,yes,no,gloeo
Euphorbia heterophylla,100,yes,no,no,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,10,yes,no,0,no,yes,no,gloeo
Euphorbia hirta (cyathophora) ou Chamaesyce Hirta,40,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,4,yes,no,2,yes,yes,no,gloeo
Euphorbia sp,400,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,7,no,no,70,yes,yes,no,gloeo
Indigofera sp,0,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,20,no,no,20,yes,yes,no,gloeo
Indigofera spicata,0,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,3,no,no,150,yes,yes,no,gloeo
Ipomea quamoclit,0,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,12,no,no,60,no,no,yes,trunc
Ipomea setifera,0,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,10,no,no,120,no,no,yes,trunc
Ludwigia octovalvis,200,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,9,no,no,12,yes,no,yes,trunc
Macroptilium lathyroides,100,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,7,no,no,50,yes,no,yes,trunc
Malachra fasciata,200,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,15,yes,no,20,yes,no,yes,trunc
Melochia pyramidata,130,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,7.2,yes,no,20,yes,no,yes,trunc
Mimosa pudica,40,no,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,1,no,no,60,no,no,yes,trunc
Passiflora,0,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,6.5,yes,no,55,yes,no,yes,trunc
Passiflora foetida,0,yes,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,13,no,no,55,no,no,yes,trunc
Phyllanthus urinaria,50,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,1.8,no,no,0,no,no,yes,trunc
Sida rhombifolia,120,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,10,yes,no,8,yes,no,yes,trunc
Spigelia anthelmia,70,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,yes,18,no,no,2,no,no,yes,trunc
Stachytarfeta jamaicensis,130,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,8,yes,no,20,no,no,yes,trunc
Teramnus labialis,0,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,5,no,no,40,yes,no,yes,trunc
Vigna unguiculata,85,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,25,no,no,130,yes,no,yes,trunc
