Code_CRB,Mosaique,Chlorose,Gaufrage,Déformation_foliaire,Nanisme,Enlacement,Points_verts,YMV,YMMV,Potex,Ampelo,Maclura,Séco,Badna
16,0,2,0,0,0,0,0,0,1,0,1,0,0,0
19,0,1,1,0,0,0,0,0,1,0,1,0,0,0
22,3,3,1,1,0,2,0,0,1,0,1,1,0,1
26,0,3,1,0,0,0,1,0,1,0,1,0,1,0
34,2,2,1,0,0,0,0,0,1,0,1,0,1,0
35,1,2,2,1,0,2,0,0,0,0,1,0,0,0
36,3,1,0,0,0,0,0,0,1,0,1,0,1,1
42,0,3,0,0,0,0,0,0,0,0,1,0,0,0
50,0,2,1,0,0,0,0,0,1,0,1,0,0,0
52,3,1,1,2,0,1,0,0,1,0,1,0,1,1
57,0,0,0,0,0,0,0,0,1,0,1,0,1,0
58,0,0,2,0,2,1,0,0,1,0,1,0,0,0
60,0,1,0,0,0,0,0,0,1,0,1,0,0,0
61,0,2,0,1,0,0,0,0,0,0,1,0,0,0
63,3,1,1,0,0,0,0,0,1,0,1,1,1,1
64,1,2,1,0,0,1,0,0,0,0,1,0,1,0
71,3,1,2,3,0,1,0,0,1,0,1,0,1,0
76,0,3,1,0,0,2,0,0,1,0,1,0,0,0
80,3,0,0,0,0,0,0,0,1,0,1,0,1,1
83,3,0,1,0,0,0,0,0,1,0,1,1,1,1
84,0,2,1,1,0,0,0,0,1,0,1,0,0,0
87,1,2,1,1,0,0,0,0,1,0,1,0,0,0
90,2,1,1,0,0,0,0,0,1,0,1,0,1,0
97,3,0,2,0,0,0,0,0,1,0,1,0,0,0
106,3,1,1,0,0,0,0,0,1,0,1,0,0,1
111,1,3,2,1,0,1,0,0,0,0,1,0,1,0
113,1,2,2,0,0,0,0,0,1,0,1,1,0,0
140,0,2,0,0,0,0,0,0,1,0,0,0,0,0
144,2,1,0,1,0,1,1,1,0,0,0,0,0,0
146,1,3,2,1,0,1,2,1,1,1,0,0,1,0
206,0,2,1,0,1,0,0,0,0,0,0,0,0,0
263,0,3,0,0,1,0,3,1,1,0,0,0,0,0
365,1,2,2,0,0,0,0,0,1,0,1,1,0,0
372,0,1,0,1,0,0,0,0,0,0,1,0,1,0
373,3,2,1,2,0,2,0,1,0,0,0,0,1,0
374,2,1,1,1,0,1,1,1,0,0,0,0,0,1
389,0,0,1,0,0,0,0,0,0,0,0,0,0,0
412,2,3,1,0,0,0,0,0,0,0,1,1,0,1
429,3,2,1,1,0,0,0,0,1,0,1,0,1,1
435,3,2,2,3,0,2,1,1,0,0,0,0,1,1
454,2,1,1,0,0,1,0,0,1,0,1,0,1,0
458,3,0,0,0,0,0,0,0,1,0,1,1,0,0
459,1,0,1,1,1,1,0,0,1,0,1,1,0,0
469,2,0,1,1,0,0,0,0,1,0,0,1,0,0
470,0,2,2,0,0,0,0,0,1,0,1,1,0,0
477,0,0,1,0,1,0,0,0,0,0,0,0,1,0
478,1,0,1,0,0,0,0,0,0,0,0,0,0,1
489,3,0,3,2,0,2,0,1,1,0,0,0,0,1
511,3,0,3,3,2,0,0,1,1,0,0,0,0,0
517,1,2,0,0,3,0,3,1,1,0,1,0,0,1
541,3,1,3,2,0,0,3,1,1,0,0,0,1,1
551,2,0,1,0,0,0,3,1,1,1,0,0,0,1
565,3,0,3,2,1,0,2,1,1,0,0,0,0,1
578,3,0,0,3,1,0,1,1,1,1,0,0,0,1
585,0,0,1,0,0,0,1,0,1,0,0,0,1,0
603,0,0,0,0,0,1,3,0,1,0,0,0,1,0
615,0,3,1,1,0,1,0,0,0,0,0,0,0,0
616,1,3,1,0,0,1,1,0,0,0,1,0,1,0
622,2,2,2,0,0,0,0,0,1,0,1,0,0,0
628,1,0,0,1,0,2,0,0,0,0,1,0,0,0
632,2,2,2,0,0,0,0,0,1,0,1,0,0,0
635,0,0,1,0,1,0,0,0,0,0,0,0,0,0
644,3,0,3,3,0,0,3,0,1,0,1,0,0,1
645,3,0,3,2,0,1,3,1,1,0,1,0,0,0
647,2,2,3,1,1,2,2,1,1,0,0,0,0,0
718,2,1,0,2,0,0,3,0,1,0,0,0,0,0
751,0,2,1,1,0,0,0,0,1,0,1,0,0,0
752,1,1,0,0,0,0,1,0,0,0,1,0,0,0
753,2,3,3,0,0,1,0,0,1,0,1,0,0,0
755,1,2,1,0,0,1,1,0,0,0,1,1,1,1
757,0,1,2,1,0,0,0,0,0,0,0,0,0,0
758,1,0,0,0,0,2,0,0,0,0,1,0,0,0
759,1,0,1,0,0,0,0,0,1,0,1,0,0,0
760,0,1,1,0,0,0,0,0,1,0,1,0,0,0
761,0,1,1,0,0,0,0,0,1,0,1,0,0,0
762,1,0,1,0,0,0,1,0,1,0,1,0,0,0
763,2,0,1,0,0,0,0,0,1,0,1,0,0,0
768,2,1,2,1,0,1,0,0,1,0,1,0,1,0
770,2,2,0,0,0,0,0,0,1,0,1,0,0,0
17002,1,2,3,1,0,0,0,0,1,0,1,0,1,0
GC,1,2,0,2,0,2,0,1,1,0,1,0,1,1
